"Server IP","DB User Name","App User Name","Total access"
"10.38.11.73","","30RGOMEZA::PU=SAPSR3","8104"
"10.38.11.73","","30CGARABITO::PU=SAPSR3","8050"
"10.38.11.73","","30FARAOSL::PU=SAPSR3","7984"
"10.38.11.73","","40SGERLACHM::PU=SAPSR3","7863"
"10.38.11.73","","30MGUTIERRE::PU=SAPSR3","7852"
"10.38.11.73","","30CCARRICONI::PU=SAPSR3","7574"
"10.38.11.73","","30CGUEVARAI::PU=SAPSR3","7259"
"10.38.11.73","","30OORTEGAC::PU=SAPSR3","6709"
"10.38.11.73","","40DARRIOLA::PU=SAPSR3","6618"
"10.38.11.73","","30EDUARTEP::PU=SAPSR3","6465"
"10.38.11.73","","10EALVARADOA::PU=SAPSR3","6439"
"10.38.11.73","","40FHUAMANGAA::PU=SAPSR3","6235"
"10.38.11.73","","40VSALINASN::PU=SAPSR3","6156"
"10.38.11.73","","30CJARAA::PU=SAPSR3","6119"
"10.38.11.73","","40ADAZAV::PU=SAPSR3","6042"
"10.38.11.73","","20LJARAA::PU=SAPSR3","6038"
"10.38.11.73","","40CCONEJERAM::PU=SAPSR3","5801"
"10.38.11.73","","40CPINTOP::PU=SAPSR3","5742"
"10.38.11.73","","40GRUBIOP::PU=SAPSR3","5512"
"10.38.11.73","","40PCORNEJOM::PU=SAPSR3","5425"
"10.38.11.73","","30JCOFREP::PU=SAPSR3","5411"
"10.38.11.73","","40SRAMIREZB::PU=SAPSR3","5395"
"10.38.11.73","","30ECORDEROI::PU=SAPSR3","5379"
"10.38.11.73","","30SORELLANAM::PU=SAPSR3","5294"
"10.38.11.73","","40PREYESH::PU=SAPSR3","5221"
"10.38.11.73","","	SSIRE_00::PU=SAPSR3","5127"
"10.38.11.73","","30CRUZA::PU=SAPSR3","5046"
"10.38.11.73","","30HSAAVEDRAA::PU=SAPSR3","5025"
"10.38.11.73","","30CVIDALH::PU=SAPSR3","5011"
"10.38.11.73","","30FRIVASA::PU=SAPSR3","5010"
"10.38.11.73","","40GJEREZF::PU=SAPSR3","4995"
"10.38.11.73","","40LPONCEV::PU=SAPSR3","4989"
"10.38.11.73","","30KOYOLACAMP::PU=SAPSR3","4860"
"10.38.11.73","","30MGUTIERREA::PU=SAPSR3","4684"
"10.38.11.73","?","30MMUNOZO::PU=SAPSR3","4608"
"10.38.11.73","","30CFERNANDEB::PU=SAPSR3","4594"
"10.38.11.73","","SSIRE_001::PU=SAPSR3","4444"
"10.38.11.73","","30FMANRIQUEL::PU=SAPSR3","4437"
"10.38.11.73","","40CARAYAJ::PU=SAPSR3","4432"
"10.38.11.73","","30MJARAR::PU=SAPSR3","4403"
"10.38.11.73","","30JVASQUEZHU::PU=SAPSR3","4369"
"10.38.11.73","","30RGONZALGON::PU=SAPSR3","4367"
"10.38.11.73","","30FBLANCOB::PU=SAPSR3","4336"
"10.38.11.73","","30NBECERRAB::PU=SAPSR3","4317"
"10.38.11.73","","30JJESUSR::PU=SAPSR3","4297"
"10.38.11.73","","40LCANDIAC::PU=SAPSR3","4250"
"10.38.11.73","","30MPALMARIQ::PU=SAPSR3","4239"
"10.38.11.73","","40IRAMIREZM::PU=SAPSR3","4222"
"10.38.11.73","","30JPINTOB::PU=SAPSR3","4206"
"10.38.11.73","","30ILINCOQUEC::PU=SAPSR3","4155"
"10.38.11.73","","40ILETELIERN::PU=SAPSR3","4119"
"10.38.11.73","","	40JYANEZ::PU=SAPSR3","4066"
"10.38.11.73","","40BVENEGASG::PU=SAPSR3","4063"
"10.38.11.73","","40LGUEVARAP","4062"
"10.38.11.73","","30RMANCILLAM::PU=SAPSR3","4006"
"10.38.11.73","","30FSOZAO::PU=SAPSR3","4004"
"10.38.11.73","","40LSALGADOR::PU=SAPSR3","4001"
"10.38.11.73","","30MMUNOZO::PU=SAPSR3","3998"
"10.38.11.73","","30EVILLALOBP::PU=SAPSR3","3975"
"10.38.11.73","","40CCATALANRO::PU=SAPSR3","3956"
"10.38.11.73","","40LMUNDACAL::PU=SAPSR3","3941"
"10.38.11.73","","30DPINILLAA::PU=SAPSR3","3938"
"10.38.11.73","?","DDIC::PU=SAPSR3","3911"
"10.38.11.73","","40DHEREDIAD::PU=SAPSR3","3879"
"10.38.11.73","","30EOJEDAV","3826"
"10.38.11.73","","40OVIVEROSJ::PU=SAPSR3","3820"
"10.38.11.73","","30LCERDAN::PU=SAPSR3","3814"
"10.38.11.73","","30PSCHWARZET","3802"
"10.38.11.73","","30MSOTOMAYOF::PU=SAPSR3","3801"
"10.38.11.73","","30VZENTENOA::PU=SAPSR3","3789"
"10.38.11.73","","40RCASTILLOA::PU=SAPSR3","3771"
"10.38.11.73","","20MCEPEDAS::PU=SAPSR3","3744"
"10.38.11.73","","40CGALLARDOG::PU=SAPSR3","3732"
"10.38.11.73","","30MPALMAT::PU=SAPSR3","3727"
"10.38.11.73","","30CVIDALH","3680"
"10.38.11.73","","40FVEGAPEREZ::PU=SAPSR3","3661"
"10.38.11.73","","30MNAVARROV::PU=SAPSR3","3635"
"10.38.11.73","","30JQUINTEROF","3631"
"10.38.11.73","","30FMORALESZ::PU=SAPSR3","3585"
"10.38.11.73","","30GLAZOA::PU=SAPSR3","3553"
"10.38.11.73","","30CCARRILLOC::PU=SAPSR3","3534"
"10.38.11.73","","30CGUTIERREM::PU=SAPSR3","3497"
"10.38.11.73","","30LSOLANOV::PU=SAPSR3","3485"
"10.38.11.73","","30RAVENDANOB::PU=SAPSR3","3480"
"10.38.11.73","","NPPAGO","3452"
"10.38.11.73","","30JBARRAS::PU=SAPSR3","3441"
"10.38.11.73","","30CMONJEA::PU=SAPSR3","3426"
"10.38.11.73","","10JBELAUSTEI::PU=SAPSR3","3409"
"10.38.11.73","","30DBENAVIDEV::PU=SAPSR3","3396"
"10.38.11.73","","30RGOMEZA","3370"
"10.38.11.73","","30GDIAZS::PU=SAPSR3","3357"
"10.38.11.73","","30LZUNIGAA::PU=SAPSR3","3338"
"10.38.11.73","","30AORELLANAD::PU=SAPSR3","3292"
"10.38.11.73","","30PLOPEZN::PU=SAPSR3","3287"
"10.38.11.73","","30GLAZO::PU=SAPSR3","3272"
"10.38.11.73","","30LVILLASEC::PU=SAPSR3","3262"
"10.38.11.73","","30GARCEF::PU=SAPSR3","3215"
"10.38.11.73","","30FFUENZALIC::PU=SAPSR3","3194"
"10.38.11.73","","30SROJASO::PU=SAPSR3","3191"
"10.38.11.73","","30CBOUCHARDB::PU=SAPSR3","3181"
"10.38.11.73","","30EMUNOZME::PU=SAPSR3","3163"
"10.38.11.73","","30DVALENZUEC::PU=SAPSR3","3129"
"10.38.11.73","","10PSCHIAPPAC::PU=SAPSR3","3123"
"10.38.11.73","","30WZAMORAO::PU=SAPSR3","3112"
"10.38.11.73","?","DBSL: con=0, no client_id::PU=SAPSR3","3112"
"10.38.11.73","","CL-CRE::PU=SAPSR3","3092"
"10.38.11.73","","30ARODRIGUEO::PU=SAPSR3","3084"
"10.38.11.73","","30GBERNACHER::PU=SAPSR3","3072"
"10.38.11.73","","30EALLUPS::PU=SAPSR3","2983"
"10.38.11.73","","30CQUIROZV::PU=SAPSR3","2972"
"10.38.11.73","","40BMENAB","2948"
"10.38.11.73","","30LMENDEZMU::PU=SAPSR3","2941"
"10.38.11.73","","30SROJASVEL::PU=SAPSR3","2938"
"10.38.11.73","","30MVALIENTE::PU=SAPSR3","2909"
"10.38.11.73","","30MVIERAS::PU=SAPSR3","2883"
"10.38.11.73","","40MREBOLLEDO::PU=SAPSR3","2839"
"10.38.11.73","?","40DARRIOLAC::PU=SAPSR3","2830"
"10.38.11.73","","30XSANHUEZAP::PU=SAPSR3","2799"
"10.38.11.73","","30CTAPIAM::PU=SAPSR3","2798"
"10.38.11.73","","40SREYESA::PU=SAPSR3","2798"
"10.38.11.73","","FULLSTAR_V02::PU=SAPSR3","2796"
"10.38.11.73","","40AGALLEGOSG::PU=SAPSR3","2764"
"10.38.11.73","","40NALVARADOO::PU=SAPSR3","2762"
"10.38.11.73","","30LLIPORACI::PU=SAPSR3","2754"
"10.38.11.73","","30MOTAROLAR::PU=SAPSR3","2738"
"10.38.11.73","","30SLECAROSL::PU=SAPSR3","2715"
"10.38.11.73","","30CBASUALTOM::PU=SAPSR3","2632"
"10.38.11.73","","30ADELCAMPOC::PU=SAPSR3","2632"
"10.38.11.73","","40EZUNIGAA::PU=SAPSR3","2613"
"10.38.11.73","","30AESPINAH::PU=SAPSR3","2610"
"10.38.11.73","","30BLATORREM::PU=SAPSR3","2594"
"10.38.11.73","","   30RZUNIGA::PU=SAPSR3","2593"
"10.38.11.73","","40DRAMIREZC::PU=SAPSR3","2589"
"10.38.11.73","","30OESCAMILLN::PU=SAPSR3","2577"
"10.38.11.73","","30FCORNEJOG::PU=SAPSR3","2564"
"10.38.11.73","","30RALLENDESC::PU=SAPSR3","2563"
"10.38.11.73","","	30EOJEDA::PU=SAPSR3","2550"
"10.38.11.73","","30FHERNANDEG::PU=SAPSR3","2544"
"10.38.11.73","","40CVERGARAT::PU=SAPSR3","2533"
"10.38.11.73","","40FCONCHAV::PU=SAPSR3","2500"
"10.38.11.73","","40TMORENOV::PU=SAPSR3","2490"
"10.38.11.73","","30JVEGAVA::PU=SAPSR3","2471"
"10.38.11.73","","30VLOBOSJ::PU=SAPSR3","2456"
"10.38.11.73","","40MPICHINGUC::PU=SAPSR3","2439"
"10.38.11.73","","30PVASQUEZG::PU=SAPSR3","2437"
"10.38.11.73","","40RARMIJOZ::PU=SAPSR3","2433"
"10.38.11.73","","30PZAPATAE::PU=SAPSR3","2432"
"10.38.11.73","","30APARDOV::PU=SAPSR3","2417"
"10.38.11.73","","30NROJASA::PU=SAPSR3","2398"
"10.38.11.73","","40YFERNANDEH::PU=SAPSR3","2383"
"10.38.11.73","","40CPONCES::PU=SAPSR3","2383"
"10.38.11.73","","10APINTOT::PU=SAPSR3","2364"
"10.38.11.73","","40HTORRESA::PU=SAPSR3","2363"
"10.38.11.73","","30MMANRIQUED::PU=SAPSR3","2327"
"10.38.11.73","","40DPEREIRAS::PU=SAPSR3","2326"
"10.38.11.73","","30JREYESME::PU=SAPSR3","2325"
"10.38.11.73","","40ECARRASV::PU=SAPSR3","2320"
"10.38.11.73","","30IROJASS::PU=SAPSR3","2300"
"10.38.11.73","","40CCARISB::PU=SAPSR3","2292"
"10.38.11.73","","30ECORTESL::PU=SAPSR3","2286"
"10.38.11.73","","DDI::PU=SAPSR3","2250"
"10.38.11.73","","30VALARCONA::PU=SAPSR3","2249"
"10.38.11.73","","30RVALVERDEE::PU=SAPSR3","2241"
"10.38.11.73","","30ECAMPOSA::PU=SAPSR3","2210"
"10.38.11.73","","30IVARGASA::PU=SAPSR3","2205"
"10.38.11.73","","40PLEIVALANQ::PU=SAPSR3","2189"
"10.38.11.73","?","30AARMIJORE::PU=SAPSR3","2172"
"10.38.11.73","","40VCASTILLOC::PU=SAPSR3","2168"
"10.38.11.73","","40TOLEAR::PU=SAPSR3","2162"
"10.38.11.73","","30ACANUMANC::PU=SAPSR3","2162"
"10.38.11.73","","40YMARTINEZM::PU=SAPSR3","2161"
"10.38.11.73","","40CARAYAMAR","2151"
"10.38.11.73","","BASI","2148"
"10.38.11.73","","30MRIQUELMEM::PU=SAPSR3","2147"
"10.38.11.73","","30ATILLERIAE::PU=SAPSR3","2145"
"10.38.11.73","","30CJARAL::PU=SAPSR3","2139"
"10.38.11.73","","40EFIGUEROAS::PU=SAPSR3","2136"
"10.38.11.73","","10GMANDIOLA::PU=SAPSR3","2130"
"10.38.11.73","","20FVILLALOBL::PU=SAPSR3","2120"
"10.38.11.73","","20BVILLENAL::PU=SAPSR3","2109"
"10.38.11.73","","30PPAVEZH::PU=SAPSR3","2097"
"10.38.11.73","","30PGUZMANA::PU=SAPSR3","2089"
"10.38.11.73","","30RGALLARDOM::PU=SAPSR3","2088"
"10.38.11.73","","30JVILLANUER::PU=SAPSR3","2074"
"10.38.11.73","","30MLARENASO::PU=SAPSR3","2043"
"10.38.11.73","","40CLASALLEH","2034"
"10.38.11.73","","30HLEYTONM::PU=SAPSR3","2029"
"10.38.11.73","","30DMORALESM::PU=SAPSR3","2024"
"10.38.11.73","","30LMEDINAD::PU=SAPSR3","2013"
"10.38.11.73","","30LNUNEZR::PU=SAPSR3","1967"
"10.38.11.73","","20RMAYORGAA::PU=SAPSR3","1962"
"10.38.11.73","","   30OORTEGA::PU=SAPSR3","1960"
"10.38.11.73","","40KMENESESG::PU=SAPSR3","1954"
"10.38.11.73","","30JOJEDAS::PU=SAPSR3","1953"
"10.38.11.73","","30CCASANGAS::PU=SAPSR3","1944"
"10.38.11.73","","30FBAEZAR::PU=SAPSR3","1938"
"10.38.11.73","","40RAGUILARPE::PU=SAPSR3","1938"
"10.38.11.73","","30MGARCIAA::PU=SAPSR3","1935"
"10.38.11.73","","20PPOBLETEH::PU=SAPSR3","1927"
"10.38.11.73","","40ALINARESC::PU=SAPSR3","1920"
"10.38.11.73","","30FECHEVERRR::PU=SAPSR3","1912"
"10.38.11.73","","30LFLORESC::PU=SAPSR3","1904"
"10.38.11.73","","40GVANINF::PU=SAPSR3","1900"
"10.38.11.73","","30VVILLARROO::PU=SAPSR3","1892"
"10.38.11.73","","30WACEVEDOD::PU=SAPSR3","1870"
"10.38.11.73","","30LESPEJOA::PU=SAPSR3","1866"
"10.38.11.73","","30MFIGUEROAA::PU=SAPSR3","1853"
"10.38.11.73","","30MCARCAMOV::PU=SAPSR3","1847"
"10.38.11.73","","20LJARA::PU=SAPSR3","1847"
"10.38.11.73","","30CRIOSECOA::PU=SAPSR3","1837"
"10.38.11.73","","30CFLORESCA::PU=SAPSR3","1834"
"10.38.11.73","","10CCAMUSG::PU=SAPSR3","1832"
"10.38.11.73","","30DARRIETAM::PU=SAPSR3","1830"
"10.38.11.73","","40JCORDOVAG::PU=SAPSR3","1821"
"10.38.11.73","","30FACUNAT::PU=SAPSR3","1813"
"10.38.11.73","","10JMIRANDAG::PU=SAPSR3","1791"
"10.38.11.73","","40LGUEVARA::PU=SAPSR3","1783"
"10.38.11.73","","30GTORRESC::PU=SAPSR3","1781"
"10.38.11.73","","40GTAGLEH::PU=SAPSR3","1775"
"10.38.11.73","","30JVELASQUS::PU=SAPSR3","1767"
"10.38.11.73","","40NCARRASCOC::PU=SAPSR3","1761"
"10.38.11.73","","40AMANRIQUV::PU=SAPSR3","1760"
"10.38.11.73","","40RPINTOH::PU=SAPSR3","1758"
"10.38.11.73","","40ADAMIGOG::PU=SAPSR3","1757"
"10.38.11.73","","30BMUNOZC::PU=SAPSR3","1755"
"10.38.11.73","","30MHERNANDM::PU=SAPSR3","1740"
"10.38.11.73","","40MESTAYR::PU=SAPSR3","1727"
"10.38.11.73","","30MKEIMA::PU=SAPSR3","1721"
"10.38.11.73","","30JMALDONOY::PU=SAPSR3","1717"
"10.38.11.73","","40CCARRASCOF::PU=SAPSR3","1714"
"10.38.11.73","","30MZURITAC::PU=SAPSR3","1709"
"10.38.11.73","?","CL-CREO::PU=SAPSR3","1700"
"10.38.11.73","","30CSAEZA::PU=SAPSR3","1699"
"10.38.11.73","","30PTORRESR::PU=SAPSR3","1694"
"10.38.11.73","","40PVEGAL::PU=SAPSR3","1690"
"10.38.11.73","?","NPPAGO::PU=SAPSR3","1676"
"10.38.11.73","","30JOLIVAREGA::PU=SAPSR3","1670"
"10.38.11.73","","30KCARDENASS::PU=SAPSR3","1669"
"10.38.11.73","?","30MGUTIERREU::PU=SAPSR3","1645"
"10.38.11.73","","30AARMIJORE::PU=SAPSR3","1643"
"10.38.11.73","","30EHUENCHUAJ::PU=SAPSR3","1631"
"10.38.11.73","","40ERIVASC::PU=SAPSR3","1626"
"10.38.11.73","","30ACIDF::PU=SAPSR3","1623"
"10.38.11.73","","30CBADILLAS::PU=SAPSR3","1622"
"10.38.11.73","","30PJARAM::PU=SAPSR3","1620"
"10.38.11.73","","30CAGUILEESP::PU=SAPSR3","1613"
"10.38.11.73","","30MCALABRANL::PU=SAPSR3","1611"
"10.38.11.73","","20CZAVIDICHD::PU=SAPSR3","1607"
"10.38.11.73","","10GTIRADOV::PU=SAPSR3","1590"
"10.38.11.73","","30MSEPULVEDA::PU=SAPSR3","1589"
"10.38.11.73","","30JBARRAS","1574"
"10.38.11.73","","20EGOMEZV::PU=SAPSR3","1568"
"10.38.11.73","","10CBALBOAV::PU=SAPSR3","1565"
"10.38.11.73","","30OCACERESS::PU=SAPSR3","1557"
"10.38.11.73","","30GSOTOM::PU=SAPSR3","1554"
"10.38.11.73","","10LFUENTESM::PU=SAPSR3","1546"
"10.38.11.73","","30NFUENTESR::PU=SAPSR3","1540"
"10.38.11.73","","30HHERNANDER::PU=SAPSR3","1536"
"10.38.11.73","","30SCACERESC::PU=SAPSR3","1525"
"10.38.11.73","","10RSEPULVEDJ::PU=SAPSR3","1521"
"10.38.11.73","","30CCONTRERAB::PU=SAPSR3","1519"
"10.38.11.73","","30RMAUREIRAB::PU=SAPSR3","1517"
"10.38.11.73","","40NCAMUSS::PU=SAPSR3","1500"
"10.38.11.73","","40CBRAVOL::PU=SAPSR3","1498"
"10.38.11.73","","40EFRITZE::PU=SAPSR3","1498"
"10.38.11.73","","30JARIASO::PU=SAPSR3","1497"
"10.38.11.73","","30VORTIZS::PU=SAPSR3","1496"
"10.38.11.73","","30JPASTORP::PU=SAPSR3","1493"
"10.38.11.73","","30CARAVENAC","1490"
"10.38.11.73","","30KHERNANDEG::PU=SAPSR3","1489"
"10.38.11.73","","30PLAGOSM::PU=SAPSR3","1489"
"10.38.11.73","","30VNAVARROR::PU=SAPSR3","1484"
"10.38.11.73","","40RMALAGARRB::PU=SAPSR3","1477"
"10.38.11.73","","30AELGUETAD::PU=SAPSR3","1474"
"10.38.11.73","","40NVIRAA","1472"
"10.38.11.73","","30LLIPORACIZ::PU=SAPSR3","1471"
"10.38.11.73","","30MJIMENEZG::PU=SAPSR3","1470"
"10.38.11.73","","30DPARDOM::PU=SAPSR3","1468"
"10.38.11.73","","30VVERAB::PU=SAPSR3","1468"
"10.38.11.73","","40NTORRESP::PU=SAPSR3","1459"
"10.38.11.73","","30OORTEGAC","1452"
"10.38.11.73","","30JARAYAQ::PU=SAPSR3","1450"
"10.38.11.73","","30SCABRERAV::PU=SAPSR3","1449"
"10.38.11.73","","30RMORENOKRU::PU=SAPSR3","1445"
"10.38.11.73","","20CCHACONC::PU=SAPSR3","1443"
"10.38.11.73","","40GQUEZADA::PU=SAPSR3","1443"
"10.38.11.73","","30MROZASR::PU=SAPSR3","1430"
"10.38.11.73","","40CDINAMARCA::PU=SAPSR3","1429"
"10.38.11.73","?","20LJARAA::PU=SAPSR3","1422"
"10.38.11.73","?","30RZUNIGAP::PU=SAPSR3","1411"
"10.38.11.73","","40CPENAM::PU=SAPSR3","1411"
"10.38.11.73","","30CSILVAVI::PU=SAPSR3","1404"
"10.38.11.73","","30RMUNOZRIQ::PU=SAPSR3","1403"
"10.38.11.73","","30CGATICAV::PU=SAPSR3","1398"
"10.38.11.73","","30KBUGUENOR::PU=SAPSR3","1396"
"10.38.11.73","","30EPEREZB::PU=SAPSR3","1391"
"10.38.11.73","","30SROJASA::PU=SAPSR3","1388"
"10.38.11.73","","40KESPINOZAN::PU=SAPSR3","1384"
"10.38.11.73","","40MBABONEIT::PU=SAPSR3","1382"
"10.38.11.73","","40AFIERROZ::PU=SAPSR3","1380"
"10.38.11.73","?","40JBELTRANC::PU=SAPSR3","1380"
"10.38.11.73","","30EARENASU::PU=SAPSR3","1379"
"10.38.11.73","","40RCORTEZS::PU=SAPSR3","1371"
"10.38.11.73","","40JLILLOL::PU=SAPSR3","1371"
"10.38.11.73","","30PSCHWARZE::PU=SAPSR3","1368"
"10.38.11.73","","30VMORALESS::PU=SAPSR3","1363"
"10.38.11.73","","30LNAVARROA::PU=SAPSR3","1362"
"10.38.11.73","","40MDIAZC::PU=SAPSR3","1362"
"10.38.11.73","","40DESCOBARB::PU=SAPSR3","1361"
"10.38.11.73","","30PMORENOC::PU=SAPSR3","1355"
"10.38.11.73","","40JBELTRANC::PU=SAPSR3","1354"
"10.38.11.73","","30MMARTINEZP::PU=SAPSR3","1351"
"10.38.11.73","","30DACEVEDOA::PU=SAPSR3","1350"
"10.38.11.73","","40JFICAP::PU=SAPSR3","1342"
"10.38.11.73","","30RZUNIGAP","1339"
"10.38.11.73","","30NBARRAD::PU=SAPSR3","1331"
"10.38.11.73","","40LPEREZC::PU=SAPSR3","1327"
"10.38.11.73","","30JZUNIGAV::PU=SAPSR3","1326"
"10.38.11.73","","30JSANTISB::PU=SAPSR3","1319"
"10.38.11.73","?","30AESPINAH::PU=SAPSR3","1313"
"10.38.11.73","","30GTOLEDOT::PU=SAPSR3","1311"
"10.38.11.73","","30RPARRAGUEV::PU=SAPSR3","1309"
"10.38.11.73","?","30RGONZALGON::PU=SAPSR3","1309"
"10.38.11.73","","30JMUNOZZ::PU=SAPSR3","1304"
"10.38.11.73","","40ESANMARTIS::PU=SAPSR3","1301"
"10.38.11.73","","30JCARDENASM::PU=SAPSR3","1283"
"10.38.11.73","","30RFERNANSAL::PU=SAPSR3","1282"
"10.38.11.73","","30SZAMBRANOA::PU=SAPSR3","1280"
"10.38.11.73","","40PFUENTESV::PU=SAPSR3","1279"
"10.38.11.73","","40CCONTRERAF::PU=SAPSR3","1267"
"10.38.11.73","","40AVALENZUEL::PU=SAPSR3","1263"
"10.38.11.73","","30GARCE::PU=SAPSR3","1262"
"10.38.11.73","","30GJARAP::PU=SAPSR3","1256"
"10.38.11.73","","30CMESIAST::PU=SAPSR3","1255"
"10.38.11.73","","20LVARELAP::PU=SAPSR3","1252"
"10.38.11.73","","30FOLIVEROF::PU=SAPSR3","1244"
"10.38.11.73","","30CABARCAGON::PU=SAPSR3","1238"
"10.38.11.73","","10EALVARADO::PU=SAPSR3","1237"
"10.38.11.73","","40EMARTINEZA::PU=SAPSR3","1230"
"10.38.11.73","","40MPARRAS::PU=SAPSR3","1229"
"10.38.11.73","","30CPEREZCH::PU=SAPSR3","1228"
"10.38.11.73","","	30LPALMA::PU=SAPSR3","1226"
"10.38.11.73","?","10GMANDIOLAC::PU=SAPSR3","1222"
"10.38.11.73","","30JBECERRAA::PU=SAPSR3","1221"
"10.38.11.73","","30AACUNAP::PU=SAPSR3","1214"
"10.38.11.73","","30CRUZA","1205"
"10.38.11.73","","30DVALDEBENP::PU=SAPSR3","1203"
"10.38.11.73","","40IGONZALEZJ::PU=SAPSR3","1199"
"10.38.11.73","","40JESPINOZAH::PU=SAPSR3","1196"
"10.38.11.73","","30FBILBAOB::PU=SAPSR3","1187"
"10.38.11.73","","30AAHUMADAG::PU=SAPSR3","1186"
"10.38.11.73","","30LAVALOSH::PU=SAPSR3","1179"
"10.38.11.73","","40PFUENTES::PU=SAPSR3","1175"
"10.38.11.73","","30RAREVALOV::PU=SAPSR3","1172"
"10.38.11.73","","10EALVARADOA","1171"
"10.38.11.73","","30GCORTESG::PU=SAPSR3","1170"
"10.38.11.73","?","40WVALDESM::PU=SAPSR3","1168"
"10.38.11.73","","30SVERDUGOB::PU=SAPSR3","1167"
"10.38.11.73","","30PHENRIQUEH::PU=SAPSR3","1166"
"10.38.11.73","","30AVERGARAC","1166"
"10.38.11.73","","SAPSY","1160"
"10.38.11.73","","30ASANTIBANO::PU=SAPSR3","1159"
"10.38.11.73","","40BCHAMORROB::PU=SAPSR3","1153"
"10.38.11.73","","30SRANILAO::PU=SAPSR3","1153"
"10.38.11.73","","30FVILLARROB::PU=SAPSR3","1152"
"10.38.11.73","","30CROSENBERV::PU=SAPSR3","1146"
"10.38.11.73","","40AGUIJADAG::PU=SAPSR3","1142"
"10.38.11.73","","	40CPINTO::PU=SAPSR3","1141"
"10.38.11.73","","30PCUTBILL::PU=SAPSR3","1135"
"10.38.11.73","","30CARAVENA::PU=SAPSR3","1131"
"10.38.11.73","","30SMEDINAA::PU=SAPSR3","1129"
"10.38.11.73","","30SKOTHERF::PU=SAPSR3","1127"
